link;x;y;drtVehicles
-209264200#1;800684.865;5824027.05;2
870399666;801520.5349999999;5823845.0600000005;1
85127874#0;794200.0700000001;5825369.55;2
155073131#2;798051.27;5823984.5;2
-1055082836;801537.755;5826848.33;8
28426844#0;792348.9550000001;5825156.125;1
-1100646719;797637.03;5830959.665;1
4615031#0;800510.27;5829966.25;2
4612858#0;799511.46;5825650.52;2
-276457310;801729.515;5827147.29;1
-4376921#0;795221.51;5827755.775;4
-138861604#4;797599.335;5825428.08;4
-4376921#2;795356.1599999999;5827758.0649999995;3
-1117241331;802521.79;5828038.125;5
-694626562;799487.2150000001;5828451.795;1
-10754963;796358.62;5824677.574999999;2
-4410149#0;795627.8999999999;5828333.365;1
-11480363;796741.3200000001;5826454.135;2
-327756257#0;798138.825;5826758.33;1
-24215974;799294.58;5826476.48;4
-39841056#2;801254.55;5825158.800000001;2
-4395614;793407.885;5823544.63;4
-1058548817;800982.8999999999;5829526.6850000005;1
-1028166891;802872.11;5827012.105;1
-4840859;798891.03;5827205.325;1
-104511823;800725.4199999999;5823385.21;4
831659093;798484.87;5828231.615;3
-4480558#2;791135.965;5825885.465;4
1056892104;796859.265;5825704.665;1
172664316;800298.8999999999;5822499.15;1
-6075138#0;795222.485;5824605.529999999;2
-23248778#1;802573.875;5827157.345;2
-4500114;792794.035;5824118.154999999;1
-69409257;798699.0549999999;5826203.22;9
-4500110;792676.925;5824160.95;1
-1024043830;801120.385;5824677.64;5
-4500116;793101.865;5824358.29;2
-1056639653;793655.225;5823422.515000001;2
-315214529#0;797021.735;5828509.06;9
172425905;800699.5349999999;5825805.285;1
-4471286#2;792394.775;5826615.1850000005;1
-1108164794;794116.8200000001;5827639.82;3
-1098856682;799073.855;5829234.154999999;4
-155605331#2;800877.325;5824574.46;4
32879631#0;794454.95;5824195.385;1
-169755107;797296.87;5823667.1;1
153653006;795308.9450000001;5826385.640000001;1
-155605331#8;800999.22;5824812.234999999;2
153653007;795520.485;5826350.23;1
-4495000#0;800709.565;5825023.994999999;2
-32975879;797904.845;5826071.33;2
-851610758;799308.3;5824690.8;1
-4387786#0;792626.815;5823981.41;2
-4387786#2;792779.15;5823950.865;1
339201250;798878.46;5827028.875;1
-172078684;797767.685;5829052.365;1
-4685757#0;801644.9199999999;5827039.98;2
-27989772;800104.37;5825002.215;1
-1100646919;797466.75;5830059.615;1
465376243#1;797570.5249999999;5827915.725;1
489593365;801257.0449999999;5824033.855;1
-23213543;793400.385;5827379.720000001;2
676630779#0;799276.54;5824555.08;1
288762496#0;801718.95;5828922.465;2
-851610745;799451.2150000001;5824830.455;1
-4543405#1;793292.26;5828341.58;2
-851610741;799580.51;5824687.35;5
-26995580;795358.76;5824587.04;3
-94133643#5;798739.755;5830328.779999999;7
4686235#0;799924.6799999999;5825703.24;1
-195418554;799568.9199999999;5826839.095000001;4
-195418556;800240.85;5826581.245;1
-1101185157;791864.155;5827374.265;1
386460952#0;797851.565;5825671.98;1
-573013098;793720.5449999999;5823321.66;3
32640199#0;799184.38;5824748.02;4
32640199#1;799174.455;5824752.97;5
52578336#0;793015.385;5826810.18;2
-1052675176;799299.0449999999;5829074.21;2
-867850613#2;800169.2050000001;5823739.285;5
-154381205;802798.21;5826673.404999999;1
1068936253#2;792076.3400000001;5828036.35;3
-154381202;803052.71;5826789.305;3
-4490378#0;791749.5700000001;5826502.98;2
-4490378#1;791781.3;5826333.1899999995;1
-126215416#2;802856.24;5828398.075;1
-169755110;797115.1699999999;5822862.35;2
-4615064#1;800712.515;5829577.65;4
-1105622720;793163.01;5825212.65;1
328064930#0;797356.53;5826208.404999999;1
-1000268036;801982.97;5823859.605;2
-856982235#0;801660.2150000001;5824829.845;1
-964932376;801077.275;5823835.045;2
-28983623#0;802779.19;5828207.635;2
33231767;801282.35;5825981.855;1
1096709530;801067.49;5829579.675000001;1
-1101189579;791331.0449999999;5825991.495;2
-116793954#3;796711.985;5828931.765;4
-1052675227#4;798876.81;5829678.49;2
