link;x;y;drtVehicles
-10616488;796857.415;5833464.4350000005;2
-55948936#3;805459.915;5815202.52;1
-461373549#0;803344.785;5838547.85;1
-486781937;807551.575;5824581.255;2
281981657#1;780678.1;5821333.404999999;3
-4612416;799297.69;5826994.175;1
-1079234606;811684.335;5829318.48;1
-1117352311;809384.2;5828910.305;1
-152258387#0;820232.55;5819662.445;1
-827618813;806918.125;5823669.82;1
-22617300#0;813309.235;5826069.68;1
-22617300#1;813518.47;5825967.67;2
-4792251#0;795017.56;5818279.205;1
-1112121581;792558.855;5825529.015;1
-4612412;798831.3999999999;5826889.145;1
-827618811;806901.435;5823912.15;1
-827618810;807051.83;5823782.235;1
-4483962;783242.6100000001;5826177.125;1
351704742#0;800957.075;5828538.325;2
-4810962#1;782420.785;5816012.125;1
-1097304405#1;806496.845;5833458.494999999;1
-1107180847;796124.245;5825117.24;1
-177615720;808467.6;5819614.285;1
-4810962#0;782361.675;5816250.075;4
-142575656#3;808135.78;5818436.75;1
-30054300#0;781515.11;5828516.164999999;2
-705212990;810420.5900000001;5829579.9;1
310958980;795358.095;5822528.074999999;1
-23531657#1;812331.7;5817330.58;1
-685332511;804294.695;5830473.115;1
4699614#1;809370.2949999999;5831598.62;2
-7631009;790740.4099999999;5824659.915;1
-23531657#2;812384.6950000001;5817344.6;1
-283317444#1;810618.955;5818224.96;2
319692399;805986.095;5821891.03;1
337540124;794793.1;5827111.995;1
-4612427;799563.86;5827305.415;1
32205504;809634.825;5815638.705;1
-4612429;798805.86;5827029.32;1
32205503;809405.9;5815437.6850000005;1
-236829197;791188.46;5819375.94;1
-1072645816;801378.37;5826762.77;1
241186022;801221.775;5831070.765000001;1
-33340122#4;791999.7849999999;5819714.085;3
-4978512#0;784882.55;5830358.02;1
-177615722;808831.95;5820761.45;2
-52460499#2;806722.005;5818542.385;1
-1102794395;801707.0549999999;5831962.154999999;1
-224282086;812509.4199999999;5817104.24;7
431356092#0;801212.6799999999;5826535.75;1
-224282087;811908.4650000001;5817490.79;1
485860822#0;792915.855;5832168.46;1
43336758#4;789901.61;5818880.6850000005;1
-179164049;804755.0800000001;5833838.045;2
-26122496;803488.565;5828770.73;1
43336758#0;789759.425;5818547.035;1
23851927;799039.89;5827576.74;1
-309202979#0;793900.64;5817525.4;1
-156346076#0;801167.885;5816730.285;1
1122145468;794065.845;5821927.675000001;1
-4764649;798841.815;5834305.38;1
-1050528851;805081.36;5826382.125;1
23536598;803417.49;5821854.35;2
-4804577#3;790960.3500000001;5837531.805;1
-156350664;799548.8049999999;5815864.33;1
-4804577#1;791351.04;5837611.41;2
-156350665;799786.975;5815934.665;3
4705478;793515.5900000001;5829250.5;1
949330594;808328.355;5827868.904999999;1
-152466386;809374.155;5817302.855;1
-14025485#0;789848.755;5817712.185;1
-1096666763#1;805168.2350000001;5831030.04;1
-4662739;797720.44;5820658.1899999995;1
-14025485#2;789648.135;5817583.484999999;1
-1096666763#0;805068.47;5831079.99;1
-72442767;813988.3400000001;5820914.695;1
-4764651;798545.1699999999;5833827.095;1
-4637769;797113.135;5832553.945;1
-285178187#1;813279.245;5829800.52;1
-1032944863;799334.585;5832190.835;1
-156350658;800085.905;5816029.855;1
-32359106;793332.565;5826535.234999999;1
-4764655;798373.825;5833799.745;2
-266454541;814445.1950000001;5820675.01;1
-30699235#3;798201.075;5819669.825;1
-30699235#6;798636.92;5819655.045;1
-203167410#1;796787.345;5836368.234999999;1
-796244040#0;796818.7150000001;5829165.75;1
-34822334#3;794588.655;5820238.62;1
316318934;809716.97;5827296.12;1
-4776636;799929.12;5835143.435;1
-645343613#0;795812.36;5829545.73;1
-34822334#0;794656.94;5820709.01;2
-4637770;797147.74;5832939.404999999;1
-22697352#0;791044.53;5820843.07;1
-10952802#1;804124.8049999999;5841016.17;1
-33055666#1;793544.2250000001;5821731.109999999;1
-131834979#1;780203.905;5827652.1;1
-344005563#0;813576.265;5830547.775;2
-31091054#4;816763.52;5821286.95;2
-1089672834#2;799485.51;5825138.390000001;2
-54844570;805366.8;5820531.734999999;8
-175573808;804422.005;5826557.09;2
-29320396#0;804743.995;5835149.415;5
472210041;809433.2050000001;5834495.195;1
-4619890#1;781133.665;5815011.175000001;1
-19828559#2;798699.79;5819990.92;1
-155605298;800383.235;5824070.6899999995;1
-156350689;799752.23;5816091.175;1
-39955899;792552.975;5816795.24;2
