Stop ID,Link ID,X,Y
4853,4853,4593136.89725254,5822097.43783117
92065,92065,4591982.338357733,5818257.69858442
82564,82564,4594256.010774825,5822300.04319028
154609,154609,4595976.673911068,5821137.458863643
93310,93310,4597356.7526632985,5822101.094994252
149734,149734,4590941.222673807,5822738.48533027
490,490,4594656.517625184,5818266.482840321
pt_40017,pt_40017,4594261.26863367,5822481.3243682515
14010,14010,4596722.275518249,5823842.682418751
120922,120922,4589676.113696904,5821539.277449157
103714,103714,4592787.106389187,5822239.480007592
140325,140325,4589291.178497646,5819714.244073819
33974,33974,4596620.631212101,5822300.749540696
112045,112045,4594932.79364934,5819371.442377207
34377,34377,4594803.068048928,5824089.421641278
8920,8920,4590458.103704219,5818983.53057524
79489,79489,4597581.9837875655,5816456.1881303545
138319,138319,4589507.925412008,5819294.104207954
63811,63811,4590990.885319204,5821119.962275669
77999,77999,4597407.124953805,5823608.903356923
24867,24867,4598783.688548139,5818199.485049717
17171,17171,4597924.8256320795,5816286.071462095
104688,104688,4590811.330921506,5821043.337331045
pt_2371,pt_2371,4593011.229368101,5822296.265984418
30383,30383,4594212.760097663,5817399.99196447
134463,134463,4595664.8481912045,5822860.175482242
41790,41790,4589519.426910927,5819443.331507092
38614,38614,4594264.716371502,5822227.925600461
81479,81479,4596835.2935348265,5818373.026505372
pt_42582,pt_42582,4597581.286779169,5820621.261691534
54709,54709,4589784.947171166,5817591.0860416265
62539,62539,4592032.487178152,5817675.7847274905
67314,67314,4591567.846208791,5819491.454952471
133729,133729,4594417.033425906,5817931.201737585
106778,106778,4592815.39316853,5817868.485814804
73032,73032,4588080.6982202185,5821295.500930927
115699,115699,4593579.6548536215,5820365.831335285
41574,41574,4597015.412842872,5820966.3778823875
pt_119,pt_119,4595460.284216035,5821695.298638208
109923,109923,4591668.631738523,5821077.944742723
136038,136038,4592114.919754186,5821594.689193314
pt_38821,pt_38821,4596239.273726933,5819731.298736273
39975,39975,4596167.245282859,5819980.993401809
98111,98111,4595373.215672588,5822036.62042405
1712,1712,4587134.73377125,5820325.356602531
51512,51512,4594654.566371387,5822611.424114705
63421,63421,4591907.300091058,5821593.118941471
pt_39442,pt_39442,4595206.251449527,5822776.309717834
pt_5782,pt_5782,4589960.2557180375,5818199.314573241
pt_39777,pt_39777,4590471.275395036,5818991.308923106
22183,22183,4596201.960045207,5823755.008414188
8444,8444,4593679.696558562,5824176.938251737
139013,139013,4597196.854843224,5818187.7160157645
122251,122251,4598274.594552826,5818820.429200373
pt_5570,pt_5570,4591441.237897631,5822171.333471345
107513,107513,4594638.933683108,5823618.619170981
129717,129717,4595580.578762068,5824718.771450778
pt_38379,pt_38379,4593548.296175696,5822631.289617129
17185,17185,4588994.598718782,5820646.278412473
133730,133730,4594402.917075072,5818013.666764447
65154,65154,4592953.161386941,5819111.196077016
102062,102062,4588250.276284695,5821221.403840092
pt_39166,pt_39166,4591561.226458012,5819511.300075893
67351,67351,4590899.584664868,5821589.257567524
16019,16019,4588751.593138314,5822300.176257967
65251,65251,4595204.560850075,5821500.807663226
pt_43479,pt_43479,4590471.275395036,5818991.308923106
86649,86649,4588086.14297052,5820228.663414924
47430,47430,4588640.516810573,5821468.464465904
30813,30813,4596216.803065758,5820414.465874652
121128,121128,4595095.158506382,5819126.06395461
