link;x;y;drtVehicles
-168940071#0;797835.47;5828332.34;1
-240959630;796447.48;5823479.925;6
4402689#0;794160.655;5825980.855;1
-856970580;801688.6950000001;5825009.11;1
-245189240;794407.9650000001;5829358.23;1
-155605270;800504.59;5823870.15;1
-7913573;799148.27;5826725.880000001;7
-30130057;797576.315;5823579.8100000005;1
-1088804295;802213.0449999999;5826873.625;3
-192136417;793950.855;5823812.76;1
-4615004#1;799992.8300000001;5829415.925;1
-35556350#2;802563.405;5826772.82;1
-4484082;791853.54;5828657.915;2
-34487458#2;794332.105;5828993.155;2
-34487458#1;794343.725;5828743.94;1
4615547;799725.445;5828059.015000001;3
-4710470#0;797047.365;5823300.385;3
-32359106;793332.565;5826535.234999999;5
4446503#0;791102.3300000001;5826475.35;1
-901165861;794629.405;5827575.425000001;1
-142161213;795676.395;5823603.42;3
-796244040#0;796818.7150000001;5829165.75;1
-1100726698;793962.28;5827487.96;6
-4385195#0;793186.1799999999;5824391.82;1
-155605265;800540.595;5823090.62;2
-1024040656#2;794162.285;5824016.055;1
-4615004#7;800161.64;5829762.755000001;2
-645343613#0;795812.36;5829545.73;3
-150513169;794811.92;5826111.05;2
-645343613#1;795859.53;5829412.390000001;3
-155071540;796999.85;5824137.275;3
-981295183#0;798898.3;5829542.79;1
-439025652;802752.5449999999;5828229.59;1
1083449372#0;801108.1950000001;5827850.109999999;2
-4615004#4;800071.3400000001;5829576.265000001;4
4442101;793993.79;5824197.535;1
36259509#0;796791.69;5826695.47;1
-305422037#0;792972.095;5825990.25;2
-4685875;803015.3049999999;5827106.335;1
-305422037#3;792966.3049999999;5825821.51;1
-1089672834#2;799485.51;5825138.390000001;2
-4611901#4;798032.52;5824766.88;2
-4685872;802411.0800000001;5826919.4;3
1100790852#0;798883.86;5824659.550000001;1
-4611901#0;798016.365;5824625.984999999;3
-1101061556#1;795498.64;5828020.725;2
-1056473039;791360.6950000001;5827283.76;2
-328426227#1;800175.4450000001;5826856.734999999;1
